PARAMS,swe-User,G Threshold =>,1.47,,Fall Detect Frequency [Hz],10,,,
Time_Begin,Fri Apr  1 16:50:02 2022,,Fall Event Recorded?,True,,False Positive?,True,,
Time End,Fri Apr  1 16:50:16 2022,,Fall Time,NULL,NULL,,,,
,,,,,,,,,
SWAY METRICS,,Mean Sway Distance [m],0.9272416370126784,,Mean Sway Velocity [m/s],,0.002445339712568336,,
,,,,,,,,,
Epoch Time [s],Quat_1,Quat_2,Quat_3,Quat_4,Lin_Acc_1 [m/s^2],Lin_Acc_2,Lin_Acc_3,C.O.P._x,C.O.P._y
1648846202.4497468,-0.1229248046875,0.63653564453125,0.2335205078125,0.72467041015625,0.06,0.01,-0.08,0.8583197696038346,-0.3723560749772854
1648846202.4999835,-0.120849609375,0.63714599609375,0.23175048828125,0.72503662109375,0.06,0.0,-0.09,0.8582537136460312,-0.37244476370929525
1648846202.6185496,-0.1207275390625,0.63720703125,0.23162841796875,0.72503662109375,0.02,0.05,-0.08,0.8583071392203382,-0.37231171798865775
1648846202.6691206,-0.11944580078125,0.63702392578125,0.22991943359375,0.72601318359375,-0.01,0.06,-0.11,0.8543539684092839,-0.381094927544639
1648846202.7307904,-0.1182861328125,0.63665771484375,0.228271484375,0.72705078125,0.11,0.14,-0.13,0.8496814286356217,-0.39096180277313297
1648846202.7927938,-0.1180419921875,0.63519287109375,0.2269287109375,0.728759765625,0.17,0.07,-0.13,0.8402106917738899,-0.40990348193269077
1648846202.8609762,-0.11822509765625,0.63336181640625,0.22515869140625,0.7308349609375,0.11,0.05,-0.24,0.8270530951226317,-0.4345704832421915
1648846202.9150617,-0.1180419921875,0.63055419921875,0.2220458984375,0.73431396484375,0.02,0.02,-0.27,0.8051536825145471,-0.47224174944300445
1648846202.9761784,-0.1173095703125,0.626220703125,0.2181396484375,0.7392578125,-0.04,-0.08,-0.22,0.7739273674451489,-0.5190132012149228
1648846203.025954,-0.115478515625,0.62188720703125,0.21368408203125,0.74444580078125,-0.02,0.0,-0.16,0.7421665619570196,-0.5604720304018606
1648846203.0844202,-0.1136474609375,0.6192626953125,0.2113037109375,0.74761962890625,0.28,-0.07,-0.21,0.7257342424614353,-0.5798476831128208
1648846203.1453469,-0.11016845703125,0.61474609375,0.20751953125,0.75286865234375,-0.05,-0.07,-0.16,0.7003105925245671,-0.6071091619812465
1648846203.1936047,-0.1068115234375,0.61090087890625,0.20452880859375,0.75732421875,-0.27,0.38,0.16,0.6813048418997234,-0.6256885521158797
1648846203.253119,-0.100341796875,0.61041259765625,0.19970703125,0.7598876953125,0.1,0.48,0.19,0.6748304844700999,-0.6314461789393282
1648846203.376637,-0.09307861328125,0.611328125,0.19354248046875,0.76165771484375,0.05,0.19,-0.09,0.6700261877686118,-0.6358842880765119
1648846203.376637,-0.09027099609375,0.61224365234375,0.19091796875,0.76190185546875,0.22,0.22,-0.22,0.6693160193883373,-0.6366503824733596
1648846203.438299,-0.07611083984375,0.6181640625,0.1795654296875,0.761474609375,-0.46,0.31,0.04,0.6789195975416052,-0.6279901033825659
1648846203.4850376,-0.06170654296875,0.623046875,0.16973876953125,0.76104736328125,0.8200000000000001,0.13,0.14,0.692607795014677,-0.6141244267823397
1648846203.545376,-0.044677734375,0.62591552734375,0.15667724609375,0.7626953125,0.12,-1.04,-0.21,0.6927759761209883,-0.6136314320086125
1648846203.8795152,-0.037353515625,0.626708984375,0.1492919921875,0.763916015625,-0.09,-0.38,0.24,0.6848813895367866,-0.62182212746643
1648846203.8800108,-0.03460693359375,0.6263427734375,0.14642333984375,0.764892578125,0.11,-0.05,-0.58,0.6788583710045929,-0.6277503170887699
1648846203.9767122,-0.06146240234375,0.66864013671875,0.15576171875,0.7244873046875,-0.03,0.23,-0.02,0.8717246595505365,-0.3440047764291496
1648846204.0380077,-0.06463623046875,0.67669677734375,0.16693115234375,0.71417236328125,0.11,0.48,0.48,0.9224698941741064,-0.17170150621283492
1648846204.0380077,-0.064453125,0.68060302734375,0.1712646484375,0.70941162109375,-0.29,0.34,1.17,0.9343876744092228,-0.08837750723302994
1648846204.0987954,-0.0623779296875,0.688720703125,0.17608642578125,0.70050048828125,-0.19,-0.41000000000000003,0.45,0.936535903327311,0.06180567314993202
1648846204.1601942,-0.0633544921875,0.6995849609375,0.17706298828125,0.6893310546875,0.41000000000000003,0.73,0.01,0.9067820899678519,0.23935673132958185
1648846204.2212024,-0.06353759765625,0.71282958984375,0.1759033203125,0.67596435546875,1.81,0.56,-0.19,0.8292558218873252,0.4337674460885617
1648846204.2674959,-0.05908203125,0.73284912109375,0.1796875,0.653564453125,3.0700000000000003,0.9400000000000001,-0.63,0.6854779736698,0.6279235663244517
1648846204.36622,-0.04974365234375,0.75030517578125,0.18634033203125,0.63232421875,2.47,0.79,-0.63,0.5969773379995397,0.700786598104157
1648846204.5097368,-0.0394287109375,0.76226806640625,0.18963623046875,0.6175537109375,0.72,-0.46,-0.73,0.560180223080309,0.7203807710660064
1648846204.6383505,-0.00244140625,0.79315185546875,0.18218994140625,0.58111572265625,0.9,1.02,-0.08,0.5062408266321312,0.7293825355245112
1648846204.7782855,0.022705078125,0.80316162109375,0.17626953125,0.56866455078125,0.38,1.1500000000000001,0.34,0.5239472286139449,0.7052293165434541
1648846204.833717,0.05328369140625,0.81024169921875,0.14801025390625,0.5645751953125,-1.1500000000000001,0.77,0.19,0.5436078360118797,0.6880507537339551
1648846204.833717,0.06195068359375,0.81280517578125,0.140625,0.56195068359375,-0.87,1.53,2.29,0.5470879237364489,0.6835368069896042
1648846204.947879,0.08526611328125,0.8074951171875,0.12335205078125,0.57049560546875,-1.07,-0.42,1.56,0.6005183395457189,0.6495430985906385
1648846204.9488947,0.0985107421875,0.80206298828125,0.10369873046875,0.57989501953125,-1.1,0.59,1.49,0.6292537670279982,0.6337344170224677
1648846205.0063949,0.11865234375,0.80059814453125,0.06842041015625,0.58331298828125,0.18,0.28,1.35,0.6378343790622277,0.6320445864093753
1648846205.06847,0.13299560546875,0.7894287109375,0.0396728515625,0.59796142578125,0.22,-0.52,1.35,0.6740275770256434,0.6099111001698424
1648846205.1164966,0.14141845703125,0.771728515625,0.01416015625,0.61981201171875,-2.59,4.04,0.2,0.7284944014744689,0.563883872679882
1648846205.1783798,0.1568603515625,0.7625732421875,-0.02655029296875,0.6270751953125,-1.19,2.49,0.0,0.733647196759043,0.5649563366046951
1648846205.252365,0.1802978515625,0.7626953125,-0.05914306640625,0.6182861328125,2.33,0.17,-1.8900000000000001,0.7172959110972282,0.5839610328601277
1648846205.3617477,0.20489501953125,0.7515869140625,-0.10272216796875,0.6185302734375,-0.65,-0.31,-0.99,0.7209083662046092,0.5842639162702263
1648846205.4226155,0.21746826171875,0.74127197265625,-0.135009765625,0.6204833984375,-0.72,1.73,-1.71,0.7066324079989729,0.6046943934550941
1648846205.484757,0.24407958984375,0.728759765625,-0.187255859375,0.61181640625,-0.26,-1.78,-2.0300000000000002,0.6491628240000775,0.6666318477153469
1648846205.5447521,0.2576904296875,0.72052001953125,-0.2188720703125,0.60546875,-0.22,-0.06,-0.88,0.5832602309534667,0.7247057705190978
1648846205.591632,0.27838134765625,0.71258544921875,-0.24530029296875,0.595458984375,-0.45,1.79,-0.05,0.5726253741680422,0.7328020067450685
1648846205.652282,0.30841064453125,0.6993408203125,-0.28314208984375,0.579345703125,-1.23,0.49,-0.19,0.5612242211579302,0.7411305141233232
1648846205.713969,0.330322265625,0.688720703125,-0.31939697265625,0.56085205078125,-0.3,0.74,-0.27,0.502373610217717,0.7799030431407429
1648846205.7743568,0.36187744140625,0.67059326171875,-0.36004638671875,0.5382080078125,-0.3,0.31,0.17,0.4923806137005599,0.785123864887971
